Pop.i	Pop.j	Distance
AH	DB	23782.9214908585
AH	DI	108840.314745076
AH	EB	64562.353099248
AH	ED	45018.2726208896
AH	FB	25930.6424785878
AH	FW	87068.2493678899
AH	HI	51941.1175513925
AH	JT	35594.7395088397
AH	KR	22744.5477093435
AH	LP	74560.6687949198
AH	MC	64027.5827046602
AH	PP	56795.133044058
AH	PT	14224.7266168163
AH	PV	76796.1824708939
AH	SB	102720.724787188
AH	SH	33449.694435769
AH	SM	56906.400364893
AH	SQ	139324.407664716
DB	DI	85225.9043945005
DB	EB	40841.4600013113
DB	ED	21233.7957965966
DB	FB	4426.33070044424
DB	FW	105936.251340152
DB	HI	28341.063561748
DB	JT	54474.2943592954
DB	KR	11756.0191885212
DB	LP	50946.4897263852
DB	MC	82920.5360385558
DB	PP	33195.2456077646
DB	PT	20334.7904615992
DB	PV	53159.5953257431
DB	SB	79125.5144376121
DB	SH	9666.95837604139
DB	SM	33311.4134505925
DB	SQ	115728.971315401
DI	EB	47070.3524437203
DI	ED	68851.2816333796
DI	FB	84300.1666135057
DI	FW	190913.003222356
DI	HI	89547.0240468508
DI	JT	139443.003804524
DI	KR	92946.9402204495
DI	LP	37902.057580662
DI	MC	167877.541444986
DI	PP	95308.6435267942
DI	PT	102278.479286245
DI	PV	32558.2701464064
DI	SB	6380.26451930397
DI	SH	79596.3712778339
DI	SM	52945.5105805359
DI	SQ	31054.1570320869
EB	ED	24477.8918098246
EB	FB	40002.1471943654
EB	FW	146597.169593605
EB	HI	45248.4609029415
EB	JT	95147.0241384357
EB	KR	48476.9905933054
EB	LP	11404.3217401845
EB	MC	123581.486486254
EB	PP	50925.0603844191
EB	PT	57979.7688590562
EB	PV	14536.601173073
EB	SB	41059.2924564065
EB	SH	35212.6402676472
EB	SM	8400.54840787983
EB	SQ	77643.9740236884
ED	FB	20573.6126034064
ED	FW	127364.384887938
ED	HI	21183.6076729008
ED	JT	75710.7420088747
ED	KR	29038.1308418844
ED	LP	34572.2288161065
ED	MC	104168.888300025
ED	PP	26923.0487523263
ED	PT	38551.5626897437
ED	PV	36871.6424502824
ED	SB	62837.0900475101
ED	SH	12132.2023295108
ED	SM	17022.9872989812
ED	SQ	99440.5875088588
FB	FW	107189.402832309
FB	HI	31453.6692780813
FB	JT	55711.8447716104
FB	KR	8445.94043270825
FB	LP	50021.4388001635
FB	MC	84149.1596908057
FB	PP	36307.4009029129
FB	PT	18545.3584955424
FB	PV	52320.8524343442
FB	SB	78287.0042821681
FB	SH	12961.547774898
FB	SM	32453.3709293458
FB	SQ	114871.90021724
FW	HI	134192.558710104
FW	JT	54681.2045436793
FW	KR	102146.178099398
FW	LP	156625.751462257
FW	MC	23632.5111411828
FW	PP	138942.563241284
FW	PT	90815.2387007664
FW	PV	158924.506696039
FW	SB	184890.329735202
FW	SH	115638.227509074
FW	SM	139076.290491552
FW	SQ	221493.963982225
HI	JT	82628.7935308479
HI	KR	39914.4475859102
HI	LP	55268.2353139698
HI	MC	111086.300603654
HI	PP	7257.00888871052
HI	PT	48493.995822635
HI	PV	57481.320314993
HI	SB	83533.943663243
HI	SH	18675.1255715169
HI	SM	37643.7907414889
HI	SQ	120031.689206964
JT	KR	50682.4684882237
JT	LP	105157.781859194
JT	MC	31670.184219747
JT	PP	87478.5077059531
JT	PT	39436.8366786026
JT	PV	107381.503931941
JT	SB	133423.359744258
JT	SH	64133.0071277728
JT	SM	87631.1372817793
JT	SQ	170007.920239426
KR	LP	58337.7089824772
KR	MC	79163.4473118511
KR	PP	44777.279933539
KR	PT	11981.9683005052
KR	PV	60648.8700481445
KR	SB	86614.9388459387
KR	SH	21430.1466703856
KR	SM	40759.0879421451
KR	SQ	123176.814175736
LP	MC	133639.397052625
LP	PP	61133.39922106
LP	PT	67998.9805766899
LP	PV	5366.64165690075
LP	SB	31889.4723733405
LP	SH	45317.3145267547
LP	SM	18494.9118993108
LP	SQ	68387.1251707734
MC	PP	115938.08146245
MC	PT	67792.6923121849
MC	PV	135902.692398517
MC	SB	161868.654777002
MC	SH	92432.311628679
MC	SM	116054.380048541
MC	SQ	198472.239780464
PP	PT	53347.2132587673
PP	PV	63243.2479260787
PP	SB	89209.1401854353
PP	SH	23368.0528849242
PP	SM	43395.0317215922
PP	SQ	125813.226614656
PT	PV	70295.9507335514
PT	SB	96262.7651610023
PT	SH	30007.6475342636
PT	SM	50447.7345290653
PT	SQ	132865.682855266
PV	SB	26545.2711378148
PV	SH	47530.6033629382
PV	SM	20764.3903595115
PV	SQ	63244.1614116455
SB	SH	73496.7122395238
SB	SM	46932.0043226722
SB	SQ	37250.7307837784
SH	SM	27682.6116048156
SH	SQ	110100.741285514
SM	SQ	83334.2102767997
