"kd490.Winter" "PAR.Summer2" "kd490.Spring" "PAR.Winter2" "SalinityAVG2" "SST.month.Winter" "SST.August" "ChlA.Winter" "ChlA.Spring"
"AH06MA6" 0.412591237304462 47.6331388591695 1.10492460272823 8.45829033151655 29.56855774 7.741982731 12.75205126 3.58656825 4.573469968
"AH10FD5" 0.412591237304462 47.6331388591695 1.10492460272823 8.45829033151655 29.56855774 7.741982731 12.75205126 3.58656825 4.573469968
"AH10MD6" 0.412591237304462 47.6331388591695 1.10492460272823 8.45829033151655 29.56855774 7.741982731 12.75205126 3.58656825 4.573469968
"AH16MC4" 0.412591237304462 47.6331388591695 1.10492460272823 8.45829033151655 29.56855774 7.741982731 12.75205126 3.58656825 4.573469968
"DB01MD2" 1.20229421550561 47.0037283142877 2.31518595237961 8.36442962508231 27.76323318 7.779051744 13.46076924 16.88012099 24.78349566
"DB02MA4" 1.20229421550561 47.0037283142877 2.31518595237961 8.36442962508231 27.76323318 7.779051744 13.46076924 16.88012099 24.78349566
"DB05MD4" 1.20229421550561 47.0037283142877 2.31518595237961 8.36442962508231 27.76323318 7.779051744 13.46076924 16.88012099 24.78349566
"DB10MC5" 1.20229421550561 47.0037283142877 2.31518595237961 8.36442962508231 27.76323318 7.779051744 13.46076924 16.88012099 24.78349566
"DB19MD6" 1.20229421550561 47.0037283142877 2.31518595237961 8.36442962508231 27.76323318 7.779051744 13.46076924 16.88012099 24.78349566
"DI05MD4" 1.54684030891471 48.7161074566841 0.718881231388674 8.63887423422187 28.31289291 8.231206894 13.98743583 8.888118863 7.395396233
"DI06MB6" 1.54684030891471 48.7161074566841 0.718881231388674 8.63887423422187 28.31289291 8.231206894 13.98743583 8.888118863 7.395396233
"DI11MD6" 1.54684030891471 48.7161074566841 0.718881231388674 8.63887423422187 28.31289291 8.231206894 13.98743583 8.888118863 7.395396233
"DI13MA2" 1.54684030891471 48.7161074566841 0.718881231388674 8.63887423422187 28.31289291 8.231206894 13.98743583 8.888118863 7.395396233
"EB02MC1" 0.896146865448082 47.9956993276 1.29656065056098 8.38520614811861 23.69290161 8.007155168 13.81256407 3.433357 13.74027807
"EB10MC3" 0.896146865448082 47.9956993276 1.29656065056098 8.38520614811861 23.69290161 8.007155168 13.81256407 3.433357 13.74027807
