"lat" "lon"
"AH06MA6" 48.15512 -122.67458
"AH10FD5" 48.15512 -122.67458
"AH10MD6" 48.15512 -122.67458
"AH16MC4" 48.15512 -122.67458
"DB01MD2" 47.96567 -122.54668
"DB02MA4" 47.96567 -122.54668
"DB05MD4" 47.96567 -122.54668
"DB10MC5" 47.96567 -122.54668
"DB19MD6" 47.96567 -122.54668
"DI05MD4" 47.239383 -122.564533
"DI06MB6" 47.239383 -122.564533
"DI11MD6" 47.239383 -122.564533
"DI13MA2" 47.239383 -122.564533
"EB02MC1" 47.62733 -122.3932
"EB10MC3" 47.62733 -122.3932
"EB13MA4" 47.62733 -122.3932
"EB18MD3" 47.62733 -122.3932
"EB19MA2" 47.62733 -122.3932
"ED24MD6" 47.82249 -122.37718
"ED26MD4" 47.82249 -122.37718
"ED37MC4" 47.82249 -122.37718
"ED38MD6" 47.82249 -122.37718
"FB10MD6" 47.93551 -122.60154
"FB13MD3" 47.93551 -122.60154
"FB20MD4" 47.93551 -122.60154
"FWB7M" 48.141094 -123.613185
"HI17MA2" 48.00238 -122.30417
"HI24MB4" 48.00238 -122.30417
"JT02MB3" 48.129512 -123.058494
"JT05MA5" 48.129512 -123.058494
"KR01MA4" 47.96144 -122.67148
"KR13MA2" 47.96144 -122.67148
"KR15MB2" 47.96144 -122.67148
"LP54MB6" 47.533 -122.39957
"LP65MD6" 47.533 -122.39957
"LP67MD2" 47.533 -122.39957
"LP68MD3" 47.533 -122.39957
"LP69MB1" 47.533 -122.39957
"MC17MA3" 48.117133 -123.364385
"MC23MC1" 48.117133 -123.364385
"PP02MC6" 48.05151 -122.35799
"PP04MB6" 48.05151 -122.35799
"PP09MD2" 48.05151 -122.35799
"PT05MD2" 48.03241 -122.73317
"PT13MD6" 48.03241 -122.73317
"PT16MA6" 48.03241 -122.73317
"PV72MA4" 47.51224 -122.47314
"PV83MC6" 47.51224 -122.47314
"PV88MD5" 47.51224 -122.47314
"PV89MC4" 47.51224 -122.47314
"SB01MD2" 47.292939 -122.53
"SB13MA2" 47.292939 -122.53
"SB14MC4" 47.292939 -122.53
"SH04MD6" 47.9179 -122.44246
"SH05MD2" 47.9179 -122.44246
"SH11MD4" 47.9179 -122.44246
"SH12MD2" 47.9179 -122.44246
"SH18MD4" 47.9179 -122.44246
"SM44MA1" 47.68197 -122.40897
"SM46MA4" 47.68197 -122.40897
"SM47MC1" 47.68197 -122.40897
"SM48MC5" 47.68197 -122.40897
"SM50MB5" 47.68197 -122.40897
"SQX15MB2" 47.166778 -122.892928
"SQX17MA2" 47.166778 -122.892928
